Season,wOBA,wOBAScale,wBB,wHBP,w1B,w2B,w3B,wHR,runSB,runCS,R/PA,R/W,cFIP
2026,0.317,1.232,0.698,0.729,0.889,1.259,1.591,2.041,0.200,-0.414,0.119,9.874,3.111
2025,0.313,1.232,0.691,0.722,0.882,1.252,1.584,2.037,0.200,-0.410,0.118,9.774,3.135
2024,0.310,1.242,0.689,0.720,0.882,1.254,1.590,2.050,0.200,-0.405,0.117,9.683,3.167
2023,0.318,1.204,0.696,0.726,0.883,1.244,1.569,2.004,0.200,-0.422,0.122,10.028,3.255
2022,0.310,1.259,0.689,0.720,0.884,1.261,1.601,2.072,0.200,-0.397,0.114,9.524,3.112
2021,0.314,1.209,0.692,0.722,0.879,1.242,1.568,2.007,0.200,-0.419,0.121,9.973,3.170
2020,0.320,1.185,0.699,0.728,0.883,1.238,1.558,1.979,0.200,-0.435,0.125,10.282,3.191
2019,0.320,1.157,0.690,0.719,0.870,1.217,1.529,1.940,0.200,-0.435,0.126,10.296,3.214
2018,0.315,1.226,0.690,0.720,0.880,1.247,1.578,2.031,0.200,-0.407,0.117,9.714,3.160
2017,0.321,1.185,0.693,0.723,0.877,1.232,1.552,1.980,0.200,-0.423,0.122,10.048,3.158
2016,0.318,1.212,0.691,0.721,0.878,1.242,1.569,2.015,0.200,-0.410,0.118,9.778,3.147
2015,0.313,1.251,0.687,0.718,0.881,1.256,1.594,2.065,0.200,-0.392,0.112,9.421,3.134
2014,0.310,1.304,0.689,0.722,0.892,1.283,1.635,2.135,0.200,-0.377,0.107,9.117,3.132
2013,0.314,1.277,0.690,0.722,0.888,1.271,1.616,2.101,0.200,-0.384,0.110,9.264,3.048
2012,0.315,1.245,0.691,0.722,0.884,1.257,1.593,2.058,0.200,-0.398,0.114,9.544,3.094
2011,0.316,1.264,0.694,0.726,0.890,1.270,1.611,2.086,0.200,-0.394,0.112,9.454,3.025
2010,0.321,1.251,0.701,0.732,0.895,1.270,1.608,2.072,0.200,-0.403,0.115,9.643,3.078
2009,0.329,1.210,0.707,0.737,0.895,1.258,1.585,2.023,0.200,-0.420,0.120,9.994,3.097
2008,0.328,1.211,0.708,0.739,0.896,1.259,1.587,2.024,0.200,-0.422,0.120,10.032,3.132
2007,0.331,1.192,0.711,0.741,0.896,1.253,1.575,1.999,0.200,-0.433,0.124,10.250,3.240
2006,0.332,1.170,0.708,0.737,0.890,1.241,1.557,1.970,0.200,-0.439,0.125,10.365,3.147
2005,0.326,1.208,0.703,0.733,0.890,1.252,1.578,2.017,0.200,-0.419,0.120,9.971,3.020
2004,0.330,1.180,0.707,0.737,0.890,1.244,1.563,1.983,0.200,-0.434,0.124,10.272,3.049
2003,0.328,1.194,0.706,0.736,0.891,1.249,1.572,2.000,0.200,-0.428,0.123,10.158,3.032
2002,0.326,1.211,0.704,0.735,0.892,1.255,1.582,2.021,0.200,-0.420,0.120,9.991,2.962
2001,0.327,1.182,0.704,0.733,0.887,1.242,1.561,1.982,0.200,-0.432,0.124,10.235,3.049
2000,0.341,1.147,0.722,0.751,0.900,1.244,1.554,1.947,0.200,-0.460,0.131,10.795,3.134
1999,0.341,1.156,0.723,0.752,0.902,1.249,1.561,1.959,0.200,-0.456,0.130,10.714,3.134
1998,0.331,1.197,0.713,0.742,0.898,1.257,1.580,2.007,0.200,-0.432,0.124,10.232,3.139
1997,0.332,1.201,0.714,0.744,0.900,1.260,1.585,2.013,0.200,-0.431,0.123,10.210,3.109
1996,0.335,1.171,0.719,0.748,0.901,1.252,1.568,1.975,0.200,-0.450,0.129,10.599,3.172
1995,0.333,1.199,0.718,0.748,0.903,1.263,1.587,2.011,0.200,-0.437,0.125,10.326,3.103
1994,0.333,1.182,0.716,0.745,0.899,1.254,1.573,1.988,0.200,-0.442,0.127,10.439,3.131
1993,0.327,1.240,0.713,0.744,0.905,1.278,1.613,2.063,0.200,-0.418,0.120,9.953,2.988
1992,0.317,1.330,0.706,0.739,0.912,1.311,1.670,2.178,0.200,-0.381,0.108,9.188,2.783
1991,0.318,1.297,0.707,0.739,0.908,1.297,1.647,2.133,0.200,-0.395,0.113,9.479,2.856
1990,0.319,1.299,0.707,0.739,0.908,1.298,1.648,2.137,0.200,-0.393,0.112,9.440,2.808
1989,0.313,1.329,0.704,0.737,0.910,1.308,1.667,2.174,0.200,-0.383,0.109,9.230,2.763
1988,0.312,1.322,0.700,0.733,0.905,1.302,1.659,2.162,0.200,-0.383,0.109,9.229,2.769
1987,0.326,1.206,0.707,0.737,0.894,1.256,1.582,2.014,0.200,-0.428,0.123,10.144,2.871
1986,0.320,1.267,0.706,0.737,0.902,1.282,1.624,2.094,0.200,-0.403,0.115,9.645,2.771
1985,0.317,1.280,0.703,0.735,0.901,1.285,1.631,2.109,0.200,-0.397,0.114,9.530,2.684
1984,0.317,1.302,0.706,0.738,0.908,1.298,1.650,2.140,0.200,-0.392,0.112,9.417,2.768
1983,0.319,1.289,0.706,0.738,0.906,1.293,1.640,2.123,0.200,-0.396,0.113,9.499,2.755
1982,0.318,1.291,0.705,0.737,0.905,1.293,1.641,2.126,0.200,-0.394,0.112,9.454,2.717
1981,0.314,1.361,0.706,0.740,0.917,1.325,1.693,2.219,0.200,-0.371,0.105,8.997,2.600
1980,0.320,1.298,0.708,0.741,0.909,1.299,1.649,2.137,0.200,-0.393,0.112,9.437,2.752
1979,0.324,1.263,0.711,0.743,0.907,1.286,1.627,2.092,0.200,-0.408,0.117,9.741,2.732
1978,0.318,1.327,0.707,0.740,0.913,1.311,1.669,2.176,0.200,-0.382,0.108,9.211,2.585
1977,0.324,1.255,0.708,0.739,0.902,1.279,1.618,2.081,0.200,-0.407,0.116,9.726,2.738
1976,0.315,1.381,0.712,0.747,0.926,1.340,1.713,2.248,0.200,-0.371,0.105,8.988,2.633
1975,0.321,1.331,0.716,0.749,0.922,1.322,1.681,2.185,0.200,-0.388,0.110,9.335,2.587
1974,0.318,1.349,0.713,0.747,0.922,1.327,1.691,2.206,0.200,-0.381,0.108,9.199,2.578
1973,0.319,1.318,0.710,0.743,0.914,1.309,1.665,2.164,0.200,-0.388,0.110,9.338,2.565
1972,0.304,1.411,0.694,0.729,0.913,1.336,1.717,2.279,0.200,-0.348,0.098,8.532,2.399
1971,0.310,1.370,0.700,0.734,0.912,1.323,1.693,2.228,0.200,-0.364,0.103,8.853,2.451
1970,0.319,1.290,0.708,0.740,0.908,1.295,1.644,2.126,0.200,-0.398,0.113,9.537,2.638
1969,0.313,1.344,0.705,0.739,0.913,1.316,1.679,2.195,0.200,-0.378,0.107,9.133,2.509
