,year,set,year_list,era,name,is_full_career,is_multi_year,bref_id,bref_url,league,team,nationality,player_type,nicknames,version,source,is_stats_estimate,chart_version,ignore_cache,disable_cache_cleaning,is_variable_speed_00_01,is_wotc,is_running_in_flask,load_time,warnings,positions_and_defense_string,ip,hand,accolades,icons,points,points_estimated,stats.G,stats.H,stats.R,stats.1B,stats.2B,stats.3B,stats.AB,stats.BB,stats.CS,stats.HR,stats.PA,stats.SB,stats.SF,stats.SH,stats.SO,stats.TB,stats.HBP,stats.IBB,stats.RBI,stats.age,stats.GIDP,stats.bWAR,stats.dWAR,stats.hand,stats.name,stats.type,stats.GO/AO,stats.IF/FB,stats.lg_ID,stats.is_hof,stats.bref_id,stats.team_ID,stats.year_ID,stats.bref_url,stats.accolades.H,stats.accolades.2B,stats.accolades.TB,stats.accolades.RBI,stats.accolades.mvp,stats.is_rookie,stats.positions.CF.g,stats.positions.CF.drs,stats.positions.CF.tzr,stats.positions.DH.g,stats.positions.DH.drs,stats.positions.DH.tzr,stats.positions.LF.g,stats.positions.LF.drs,stats.positions.LF.tzr,stats.positions.OF.g,stats.positions.OF.drs,stats.positions.OF.tzr,stats.hand_throw,stats.pos_season,stats.batting_avg,stats.nationality,stats.onbase_perc,stats.is_hr_leader,stats.is_sb_leader,stats.is_so_leader,stats.sprint_speed,stats.years_played,stats.award_summary,stats.slugging_perc,stats.rookie_status_year,stats.is_above_w_threshold,stats.onbase_plus_slugging,stats.is_above_hr_threshold,stats.is_above_sb_threshold,stats.is_above_so_threshold,stats.onbase_plus_slugging_plus,stats_period.type,image.edition,image.expansion,image.source.type,image.parallel,image.special_edition,image.output_folder_path,image.set_number,image.add_one_to_set_year,image.show_year_text,image.is_bordered,image.is_dark_mode,image.hide_team_logo,image.use_secondary_color,image.is_multi_colored,image.stat_highlights_type,chart.is_pitcher,chart.set,chart.is_expanded,chart.command,chart.outs,chart.sb,chart.values.PU,chart.values.SO,chart.values.GB,chart.values.FB,chart.values.BB,chart.values.1B,chart.values.1B+,chart.values.2B,chart.values.3B,chart.values.HR,chart.ranges.SO,chart.ranges.GB,chart.ranges.FB,chart.ranges.BB,chart.ranges.1B,chart.ranges.1B+,chart.ranges.2B,chart.ranges.3B,chart.ranges.HR,positions_and_defense.LF/RF,speed.speed,speed.letter,projected.PA,projected.SO,projected.BB,projected.1B,projected.2B,projected.3B,projected.HR,projected.H,projected.AB,projected.batting_avg,projected.onbase_perc,projected.slugging_perc,projected.onbase_plus_slugging,projected.onbase_plus_slugging_plus,points_breakdown.ba,points_breakdown.obp,points_breakdown.slg,points_breakdown.hr,points_breakdown.defense,points_breakdown.speed,points_breakdown.ip,points_breakdown.icons,points_breakdown.out_distribution,points_breakdown.bonus,points_breakdown.command_out_multiplier,points_breakdown.normalizer,points_breakdown.allow_negatives,points_breakdown.multi_inning_mutliplier,points_estimated_breakdown.ba,points_estimated_breakdown.obp,points_estimated_breakdown.slg,points_estimated_breakdown.hr,points_estimated_breakdown.defense,points_estimated_breakdown.speed,points_estimated_breakdown.ip,points_estimated_breakdown.icons,points_estimated_breakdown.out_distribution,points_estimated_breakdown.bonus,points_estimated_breakdown.command_out_multiplier,points_estimated_breakdown.normalizer,points_estimated_breakdown.allow_negatives,points_estimated_breakdown.multi_inning_mutliplier,stats.positions.2B.g,stats.positions.2B.drs,stats.positions.2B.tzr,stats.positions.SS.g,stats.positions.SS.drs,stats.positions.SS.tzr,chart.hr_range_start,positions_and_defense.SS,stats.positions.1B.g,stats.positions.1B.drs,stats.positions.1B.tzr,positions_and_defense.CF,stats.accolades.BB,stats.accolades.HR,stats.accolades.allstar,stats.accolades.silver_sluggers,stats.positions.3B.g,stats.positions.3B.drs,stats.positions.3B.tzr,positions_and_defense.3B,positions_and_defense.2B,stats.positions.C.g,stats.positions.C.drs,stats.positions.C.tzr,positions_and_defense.C,stats.W,stats.GS,stats.IP,stats.SV,stats.ROE,stats.whip,stats.IP/GS,stats.positions.P.g,stats.positions.P.drs,stats.positions.P.tzr,stats.PA_unknown,stats.is_sv_leader,stats.batters_faced,stats.earned_run_avg,stats.batting_avg_bip,chart.ranges.PU,positions_and_defense.STARTER,stats.accolades.SV,positions_and_defense.CLOSER,stats.positions.RF.g,stats.positions.RF.drs,stats.positions.RF.tzr,positions_and_defense.1B,stats.accolades.awards,stats.accolades.R,stats.accolades.3B,stats.accolades.WAR,stats.accolades.batting_avg,stats.accolades.onbase_perc,stats.accolades.slugging_perc,stats.accolades.onbase_plus_slugging,stats.accolades.onbase_plus_slugging_plus,stats.accolades.W,stats.accolades.CG,stats.accolades.IP,stats.accolades.SHO,stats.accolades.fip,stats.accolades.SO_p,stats.accolades.whip,stats.accolades.cyyoung,stats.accolades.win_loss_perc,stats.accolades.earned_run_avg,stats.accolades.earned_run_avg_plus,stats.accolades.strikeouts_per_nine,positions_and_defense.RELIEVER,stats.accolades.SB,stats.accolades.gold_gloves,positions_and_defense.OF,positions_and_defense.DH
0,2001,2002,[2001],STEROID ERA,Garret Anderson,False,False,anderga01,,MLB,ANA,NONE,Hitter,[],3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],LF/RF +2,0,L,"['5TH IN HITS', '6TH IN RBI', '7TH IN TOTAL BASES', '8TH IN 2B', '21ST IN MVP']",[],220,270,161.0,194.0,83.0,125.0,39.0,2.0,672.0,27.0,6.0,28.0,704.0,13.0,5.0,0.0,100.0,321.0,0.0,4.0,123.0,29.0,12.0,2.7,0.1,Left,Garret Anderson,Hitter,0.91,0.1,AL,False,anderga01,ANA,2001.0,https://www.baseball-reference.com/players/a/anderga01.shtml,['2001 AL 194 (5TH)'],['2001 AL 39 (8TH)'],['2001 AL 321 (7TH)'],['2001 AL 123 (6TH)'],"['2001 AL (21, 1%)']",False,12.0,,0.0,12.0,,,144.0,,7.0,149.0,,6.0,Left,*78D,0.289,US,0.314,False,False,False,,"['1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010']",MVP-21,0.478,1995.0,False,0.792,False,False,False,104.0,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,1,False,False,False,False,False,False,False,NONE,False,2002,True,9,6,0.0,0,1,3,2,0,8,1,2,0,3,1,2–4,5–6,—,7–14,15,16–17,—,18+,2.0,15,B,704,111.855,27.3948,129.812,33.2035,0.0,33.4689,196.4843,676.6052,0.2904,0.318,0.4879,0.8059,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,24.914,49.0,74.047,41.803,48.75,35.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,2002,[2001],STEROID ERA,David Eckstein,False,False,eckstda01,,MLB,ANA,NONE,Hitter,"['X Factor', 'Just Enough']",3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],SS +3,0,R,"['4TH IN ROY', '89 OPS+', '4.2 WAR']",[],160,180,153.0,166.0,82.0,134.0,26.0,2.0,582.0,43.0,4.0,4.0,664.0,29.0,2.0,16.0,60.0,208.0,21.0,0.0,41.0,26.0,11.0,4.2,0.4,Right,David Eckstein,Hitter,1.29,0.14,AL,False,eckstda01,ANA,2001.0,https://www.baseball-reference.com/players/e/eckstda01.shtml,,,,,,True,,,,14.0,,,,,,,,,Right,*64D/H,0.285,US,0.355,False,False,False,,"['2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010']",RoY-4,0.357,2001.0,False,0.712,False,False,False,89.0,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,2,False,False,False,False,False,False,False,NONE,False,2002,True,11,7,0.0,0,0,6,1,4,7,1,1,0,0,—,1–6,7,8–11,12–18,19,20–26,—,27+,,18,A,664,82.5584,73.4802,134.3219,23.4153,0.0,2.65,160.3872,590.5198,0.2716,0.3522,0.3247,0.6769,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,17.752,99.782,-20.437,-14.812,42.9,56.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,14.0,,0.0,126.0,,-4.0,26.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2001,2002,[2001],STEROID ERA,Darin Erstad,False,False,erstada01,,MLB,ANA,NONE,Hitter,[],3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],CF +3 LF/RF +2,0,L,"['82 OPS+', '2.9 WAR']",[],160,130,157.0,163.0,89.0,118.0,35.0,1.0,631.0,62.0,10.0,9.0,716.0,24.0,7.0,1.0,113.0,227.0,10.0,7.0,63.0,27.0,8.0,2.9,1.7,Left,Darin Erstad,Hitter,1.29,0.11,AL,False,erstada01,ANA,2001.0,https://www.baseball-reference.com/players/e/erstada01.shtml,,,,,,False,146.0,,15.0,4.0,,,,,,146.0,,15.0,Left,*83/D,0.258,US,0.331,False,False,False,,"['1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009']",,0.36,1996.0,False,0.691,False,False,False,82.0,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,3,False,False,False,False,False,False,False,NONE,False,2002,True,10,7,0.0,0,2,4,1,4,6,1,2,0,0,1–2,3–6,7,8–11,12–17,18,19–26,—,27+,2.0,16,B,716,120.331,74.0258,121.2847,36.4186,0.0,3.0903,160.7936,641.9742,0.2505,0.328,0.3216,0.6496,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,8.257,54.271,-18.897,-12.231,56.875,42.0,0.0,0.0,0.0,0.0,0.85,1.0,False,1.0,,,,,,,24.0,,12.0,,-1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2001,2002,[2001],STEROID ERA,Troy Glaus,False,False,glaustr01,,MLB,ANA,NONE,Hitter,[],3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],3B +1,0,R,"['SILVER SLUGGER', 'ALL STAR', '4TH IN HR', '4TH IN WALKS', '10TH IN 2B', '108 RBI']",[],330,340,161.0,147.0,100.0,66.0,38.0,2.0,588.0,107.0,3.0,41.0,708.0,10.0,7.0,0.0,158.0,312.0,6.0,7.0,108.0,24.0,16.0,5.2,0.1,Right,Troy Glaus,Hitter,0.73,0.14,AL,False,glaustr01,ANA,2001.0,https://www.baseball-reference.com/players/g/glaustr01.shtml,,['2001 AL 38 (10TH)'],,,,False,,,,2.0,,,,,,,,,Right,*5/D6H,0.25,US,0.367,False,False,False,,"['1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010']","AS,SS",0.531,1998.0,False,0.898,True,False,False,133.0,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,4,False,False,False,False,False,False,False,NONE,False,2002,True,11,6,0.0,0,4,0,2,7,2,0,2,0,3,1–4,—,5–6,7–13,14–15,—,16–17,—,18+,,14,B,708,142.6868,119.3426,61.2363,38.6313,0.0,43.8188,143.6865,588.6574,0.2441,0.3715,0.533,0.9045,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,7.276,128.439,100.158,60.458,16.25,28.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,,,,2.0,,0.0,,,,,,,['2001 AL 107 (4TH)'],['2001 AL 41 (4TH)'],['2001'],['2001 AL (3B)'],159.0,,-3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2001,2002,[2001],STEROID ERA,Adam Kennedy,False,False,kennead01,,MLB,ANA,NONE,Hitter,[],3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],2B +3,0,L,"['81 OPS+', '1.6 WAR']",[],130,110,137.0,129.0,48.0,95.0,25.0,3.0,478.0,27.0,7.0,6.0,532.0,12.0,9.0,7.0,71.0,178.0,11.0,3.0,40.0,25.0,7.0,1.6,1.1,Left,Adam Kennedy,Hitter,0.85,0.07,AL,False,kennead01,ANA,2001.0,https://www.baseball-reference.com/players/k/kennead01.shtml,,,,,,False,,,,5.0,,,,,,,,,Right,*4/HD,0.27,US,0.318,False,False,False,,"['1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012']",,0.372,2000.0,False,0.69,False,False,False,81.0,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,5,False,False,False,False,False,False,False,NONE,False,2002,True,9,6,0.0,0,0,1,5,3,8,1,2,0,0,—,1,2–6,7–9,10–17,18,19–26,—,27+,,16,B,532,76.9192,43.5245,98.0965,25.0912,0.0,2.469,125.6568,488.4755,0.2572,0.318,0.3238,0.6418,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,12.267,49.0,-20.958,-13.967,39.0,42.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,131.0,,7.0,,,,24.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2001,2002,[2001],STEROID ERA,Ben Molina,False,False,molinbe01,,MLB,ANA,NONE,Hitter,['Big Money'],3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],CA +7,0,R,"['73 OPS+', '0.6 WAR']",[],30,30,96.0,85.0,31.0,68.0,11.0,0.0,325.0,16.0,1.0,6.0,355.0,0.0,4.0,2.0,51.0,114.0,8.0,3.0,40.0,26.0,8.0,0.6,0.9,Right,Bengie Molina,Hitter,0.97,0.12,AL,False,molinbe01,ANA,2001.0,https://www.baseball-reference.com/players/m/molinbe01.shtml,,,,,,False,,,,1.0,,,,,,,,,Right,2/HD,0.262,PR,0.309,False,False,False,,"['1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010']",,0.351,2000.0,False,0.66,False,False,False,73.0,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,6,False,False,False,False,False,False,False,NONE,False,2002,True,9,7,0.0,0,1,3,3,2,10,0,1,0,0,1,2–4,5–7,8–9,10–19,—,20–26,—,27+,,10,C,355,56.4042,23.9671,70.5357,11.6667,0.0,1.6476,83.8499,331.0329,0.2533,0.3037,0.3035,0.6072,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,10.781,27.767,-32.711,-13.967,37.917,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,,,,,,,22.0,,,,,,,,,,,,,,,94.0,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2001,2002,[2001],STEROID ERA,Ramon Ortiz,False,False,ortizra02,,MLB,ANA,NONE,Pitcher,[],3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],STARTER,7,R,"['4.36 ERA', '1.433 WHIP']",[],150,260,32.0,223.0,114.0,141.0,52.0,5.0,813.0,76.0,8.0,25.0,916.0,10.0,6.0,9.0,135.0,360.0,12.0,6.0,,28.0,16.0,2.3,0.0,Right,Ramón Ortiz,Pitcher,1.13,0.1,AL,False,ortizra02,ANA,2001.0,https://www.baseball-reference.com/players/o/ortizra02.shtml,,,,,,False,,,,,,,,,,,,,Right,,0.274,DO,0.343,False,,False,,"['1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2010', '2011', '2013']",,0.443,2000.0,False,0.786,False,False,False,,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,7,False,False,False,False,False,False,False,NONE,True,2002,True,2,17,0.0,3,4,6,4,1,1,0,1,0,0,4–7,8–13,14–17,18,19,,20,,21+,,0,C,916,150.224,96.18,146.56,57.708,1.6488,17.404,223.3208,819.82,0.2724,0.3488,0.4105,0.7593,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,9.9,33.6,148.4,0.0,0.0,0.0,66.667,0.0,5.3,0.0,1.0,1.0,False,1.0,,,,,,,23.0,,,,,,,,,,,,,,,,,,,13.0,32.0,208.2,0.0,12.0,1.433,6.5,32.0,,,,False,916.0,4.36,0.3,1–3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2001,2002,[2001],STEROID ERA,Troy Percival,False,False,percitr01,,MLB,ANA,NONE,Pitcher,[],3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],CLOSER,1,R,"['ALL STAR', '4TH IN SAVES', '2.65 ERA', '0.988 WHIP']",[],310,290,57.0,39.0,19.0,30.0,6.0,0.0,209.0,18.0,1.0,3.0,230.0,14.0,0.0,1.0,71.0,54.0,2.0,1.0,,31.0,2.0,1.9,0.0,Right,Troy Percival,Pitcher,0.67,0.18,AL,False,percitr01,ANA,2001.0,https://www.baseball-reference.com/players/p/percitr01.shtml,,,,,,False,,,,,,,,,,,,,Right,,0.187,US,0.258,False,,False,,"['1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2005', '2007', '2008', '2009']",AS,0.258,1995.0,False,0.516,False,False,False,,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,8,False,False,False,False,False,False,False,NONE,True,2002,True,5,18,0.0,3,8,3,4,1,1,0,0,0,0,4–11,12–14,15–18,19,20–26,,—,,27+,,0,C,230,75.325,19.4062,27.3125,4.7437,0.2587,2.7312,35.0463,210.5937,0.1664,0.2368,0.2303,0.4671,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,30.9,112.0,158.691,0.0,0.0,0.0,0.0,0.0,-6.65,0.0,1.0,1.0,False,1.0,,,,,,,27.0,,,,,,,,['2001'],,,,,,,,,,,4.0,0.0,57.2,39.0,1.0,0.988,0.0,57.0,,,,False,230.0,2.65,0.267,1–3,,['2001 AL 39 (4TH)'],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2001,2002,[2001],STEROID ERA,Tim Salmon,False,False,salmoti01,,MLB,ANA,NONE,Hitter,"['Mr. Angel', 'Kingfish', ""Slammin' Salmon""]",3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],LF/RF +1,0,R,"['6TH IN WALKS', '98 OPS+', '1.2 WAR']",[],170,190,137.0,108.0,63.0,69.0,21.0,1.0,475.0,96.0,3.0,17.0,581.0,9.0,2.0,0.0,121.0,182.0,8.0,4.0,49.0,32.0,11.0,1.2,-1.0,Right,Tim Salmon,Hitter,0.68,0.1,AL,False,salmoti01,ANA,2001.0,https://www.baseball-reference.com/players/s/salmoti01.shtml,,,,,,False,,,,12.0,,,,,,125.0,,-5.0,Right,*9D/H,0.227,US,0.365,False,False,False,,"['1992', '1993', '1994', '1995', '1996', '1997', '1998', '1999', '2000', '2001', '2002', '2003', '2004', '2006']",,0.383,1993.0,False,0.748,False,False,False,98.0,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,9,False,False,False,False,False,False,False,NONE,False,2002,True,11,6,0.0,0,3,0,3,8,4,0,1,0,1,1–3,—,4–6,7–14,15–18,—,19,—,20+,1.0,14,B,581,105.8785,109.1484,72.6785,20.4884,0.0,13.5321,106.6989,471.8516,0.2261,0.3715,0.3556,0.7271,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,0.419,128.439,-2.547,10.278,24.375,28.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,,,,,,,,,,,,,['2001 AL 96 (6TH)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2001,2002,[2001],STEROID ERA,Scott Schoeneweis,False,False,schoesc01,,MLB,ANA,NONE,Pitcher,[],3.9.1,WOTC,False,0,False,False,False,True,False,0.0,[],STARTER,6,L,"['5.08 ERA', '1.481 WHIP']",[],310,260,32.0,227.0,122.0,163.0,41.0,2.0,808.0,77.0,9.0,21.0,910.0,20.0,8.0,3.0,104.0,335.0,14.0,2.0,,27.0,25.0,1.2,0.0,Left,Scott Schoeneweis,Pitcher,1.54,0.1,AL,False,schoesc01,ANA,2001.0,https://www.baseball-reference.com/players/s/schoesc01.shtml,,,,,,False,,,,,,,,,,,,,Left,,0.281,US,0.351,False,,False,,"['1999', '2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010']",,0.415,2000.0,False,0.765,False,False,False,,REGULAR,NONE,BS,EMPTY,NONE,NONE,/Users/matthewgula/Repositories/mlb_showdown_card_bot/mlb_showdown_bot/output,10,False,False,False,False,False,False,False,NONE,True,2002,True,5,15,0.0,2,3,7,3,1,3,0,1,0,0,3–5,6–12,13–15,16,17–19,,20,,21+,,0,C,910,127.4,76.7812,176.3125,52.8937,1.0237,10.8063,241.0362,833.2188,0.2893,0.3492,0.3941,0.7433,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1.0,0.394,32.4,179.013,0.0,0.0,0.0,33.333,0.0,16.7,0.0,1.0,1.0,False,1.0,,,,,,,24.0,,,,,,,,,,,,,,,,,,,10.0,32.0,205.1,0.0,14.0,1.481,6.4,32.0,,,,False,910.0,5.08,0.298,1–2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
