name,bref_id,nicknames,nickname1,nickname2,nickname3,nickname4,nickname5,nickname6
David Aardsma,aardsda01,['The DA'],The DA,,,,,
Henry Aaron,aaronha01,"['Hammer', ""Hammerin' Hank"", 'Bad Henry']",Hammer,Hammerin' Hank,Bad Henry,,,
Fernando Abad,abadfe01,['Nandito'],Nandito,,,,,
Ed Abbaticchio,abbated01,['Batty'],Batty,,,,,
Dan Abbott,abbotda01,['Big Dan'],Big Dan,,,,,
Al Aber,aberal01,['Lefty'],Lefty,,,,,
Cliff Aberson,aberscl01,['Kif'],Kif,,,,,
Harry Ables,ablesha01,['Hans'],Hans,,,,,
Cal Abrams,abramca01,['Abie'],Abie,,,,,
Bobby Abreu,abreubo01,"['El Come Dulce', 'La Leche']",El Come Dulce,La Leche,,,,
Jose Abreu,abreujo02,"['Oso', 'Yogi', 'Mal Tiempo', 'Pito']",Oso,Yogi,Mal Tiempo,Pito,,
Bill Abstein,abstebi01,['Big Bill'],Big Bill,,,,,
Alfredo Aceves,aceveal01,['Ace'],Ace,,,,,
Jose Acosta,acostjo01,['Acostica'],Acostica,,,,,
Manny Acta,actama99,['El Porto'],El Porto,,,,,
Ronald Acuna Jr.,acunaro01,"['Sabanero Soy', 'El De La Sabana', 'El Abusador']",Sabanero Soy,El De La Sabana,El Abusador,,,
Jerry Adair,adairje01,['Casper the Friendly Ghost'],Casper the Friendly Ghost,,,,,
Jimmy Adair,adairji01,['Choppy'],Choppy,,,,,
Cristhian Adames,adamecr01,['El Chavo'],El Chavo,,,,,
Willy Adames,adamewi01,['The Kid'],The Kid,,,,,
Austin Adams,adamsau02,['A2'],A2,,,,,
Dan Adams,adamsda01,['Rube'],Rube,,,,,
Joe Adams,adamsjo01,['Wagon Tongue'],Wagon Tongue,,,,,
Karl Adams,adamska01,['Rebel'],Rebel,,,,,
Lane Adams,adamsla01,['LA Swiftness'],LA Swiftness,,,,,
Matt Adams,adamsma01,"['Big City', 'Jumbo Pepsi']",Big City,Jumbo Pepsi,,,,
Jim Adduci,adducji02,['Deuce'],Deuce,,,,,
Bob Addy,addybo01,['Magnet'],Magnet,,,,,
Grady Adkins,adkingr01,['Butcher Boy'],Butcher Boy,,,,,
Merle Adkins,adkindo01,['Doc'],Doc,,,,,
Tim Adleman,adlemti01,['The Microwave'],The Microwave,,,,,
Ehire Adrianza,adriaeh01,['Guarenero'],Guarenero,,,,,
Harry Agganis,agganha01,['The Golden Greek'],The Golden Greek,,,,,
Sam Agnew,agnewsa01,['Slam'],Slam,,,,,
Dario Agrazal,agrazda01,['Rey'],Rey,,,,,
Jesus Aguilar,aguilje01,"['Dino', 'El Causa']",Dino,El Causa,,,,
Nick Ahmed,ahmedni01,['Slick Nick'],Slick Nick,,,,,
Eddie Ainsmith,ainsmed01,['Dorf'],Dorf,,,,,
Jack Aker,akerja01,['Chief'],Chief,,,,,
Bill Akers,akersbi01,['Bump'],Bump,,,,,
Matt Albers,alberma01,"['Albie', 'Big Salt']",Albie,Big Salt,,,,
Hanser Alberto,alberha01,"['Radio', '#Femalta']",Radio,#Femalta,,,,
Ozzie Albies,albieoz01,['Puchi'],Puchi,,,,,
Ed Albosta,albosed01,['Rube'],Rube,,,,,
Arismendy Alcantara,alcanar01,['Arismel'],Arismel,,,,,
Israel Alcantara,alcanis01,['Izzy'],Izzy,,,,,
Sandy Alcantara,alcansa01,['Sandman'],Sandman,,,,,
Victor Alcantara,alcanvi01,['V'],V,,,,,
Dale Alexander,alexada01,['Moose'],Moose,,,,,
Grover Alexander,alexape01,['Old Pete'],Old Pete,,,,,
Scott Alexander,alexasc02,['Scottie Boy'],Scottie Boy,,,,,
Tyler Alexander,alexaty01,['Todd the Painter'],Todd the Painter,,,,,
Jorge Alfaro,alfarjo01,"['The Legend', 'El Oso']",The Legend,El Oso,,,,
Antonio Alfonseca,alfonan01,"['El Pulpo', 'The Octopus']",El Pulpo,The Octopus,,,,
Edgardo Alfonzo,alfoned01,['Fonzie'],Fonzie,,,,,
Cody Allen,allenco01,['Pollo'],Pollo,,,,,
Dick Allen,allendi01,"['Wampum Walloper', 'Richie', 'Crash']",Wampum Walloper,Richie,Crash,,,
Earl Allen,allenbo03,['Thin Man'],Thin Man,,,,,
Hezekiah Allen,allenhe01,['Ki'],Ki,,,,,
